Id,Label
Nightwatcher,Nightwatcher
Szeth,Szeth
Ishnah,Ishnah
Gallam,Gallam
Jevena,Jevena
Kalanor,Kalanor
Rien,Rien
Ruthar,Ruthar
Talanor,Talanor
Tearim,Tearim
Shob,Shob
Spark,Spark
Nohadon,Nohadon
Dilid,Dilid
Eth,Eth
Glurv,Glurv
Halad,Halad
Re-Shephir,Re-Shephir
Vai,Vai
Yixli,Yixli
Ellista,Ellista
Puuli,Puuli
Au-lam,Au-lam
Hema-Dak,Hema-Dak
Longbrow,Longbrow
Sakin,Sakin
Bendthel,Bendthel
Bettam,Bettam
Fiksin,Fiksin
Urv,Urv
Demid,Demid
Ulim,Ulim
Harkaylain,Harkaylain
Heb,Heb
Resi,Resi
Seeli,Seeli
Taffa,Taffa
Bisig,Bisig
Dru,Dru
Hobber,Hobber
Huio,Huio
Punio,Punio
Vevidar,Vevidar
Hathan,Hathan
Dabbid,Dabbid
Gift,Gift
Lunamor,Lunamor
Phendorana,Phendorana
Rayse,Rayse
Star,Star
Tifi,Tifi
Tuaka,Tuaka
Malad-son-Zent,Malad-son-Zent
Talenel,Talenel
Took,Took
Da,Da
Hamaradin,Hamaradin
Nale,Nale
Febrth,Febrth
Fia,Fia
Graves,Graves
Elthebar,Elthebar
Galid,Galid
Inadara,Inadara
Bru,Bru
Guff,Guff
Ked,Ked
Paladar,Paladar
Koen,Koen
Ristina,Ristina
Ishar,Ishar
Ivory,Ivory
Jezrien,Jezrien
Kalak,Kalak
Vedel,Vedel
Havar,Havar
Ishal,Ishal
Makh,Makh
Falilar,Falilar
Insah,Insah
Jasalai,Jasalai
Helt,Helt
Axies,Axies
Ethid,Ethid
Jochi,Jochi
NanHar,NanHar
NanKhet,NanKhet
Leshwi,Leshwi
Thude,Thude
Torfin,Torfin
Varanis,Varanis
Yake,Yake
Dovcanti,Dovcanti
Masha-daughter-Shaliv,Masha-daughter-Shaliv
Kaza,Kaza
Droz,Droz
Vazrmeb,Vazrmeb
Dukar,Dukar
Golombi,Golombi
Maben,Maben
Mrall,Mrall
Uscri,Uscri
Aharat,Aharat
Altoki,Altoki
Hariel,Hariel
Melu,Melu
Mrun,Mrun
Kmakl,Kmakl
Kdralk,Kdralk
Kmakra,Kmakra
Molinar,Molinar
Shalash,Shalash
Wzmal,Wzmal
Tarah,Tarah
Yokska,Yokska
Serugiadis,Serugiadis
Aqqu,Aqqu
Kasimarlix,Kasimarlix
Noura,Noura
Snoxil,Snoxil
Gavinor,Gavinor
Kaves,Kaves
Tsa,Tsa
Velalant,Velalant
Sibling,Sibling
Beard,Beard
Noromin,Noromin
Horinar,Horinar
Grund,Grund
Jom,Jom
Muri,Muri
Nananav,Nananav
Alaward,Alaward
Deedanor,Deedanor
Hid,Hid
Vaceslv,Vaceslv
Ma,Ma
Seland,Seland
Ashertmarn,Ashertmarn
Hessi,Hessi
Sja-anat,Sja-anat
Iyatil,Iyatil
Ornament,Ornament
Melishi,Melishi
Vardinar,Vardinar
Ba-Ado-Mishram,Ba-Ado-Mishram
Tai,Tai
Hadinar,Hadinar
Ithi,Ithi
Naze-daughter-Kuzodo,Naze-daughter-Kuzodo
Yalb,Yalb
Dod,Dod
Shaday,Shaday
Sidin,Sidin
Urimil,Urimil
Jali,Jali
Yelig-nar,Yelig-nar
Mem,Mem
Sheler,Sheler
Rine,Rine
Condwish,Condwish
Jerono,Jerono
Timbre,Timbre
Moelach,Moelach
Tenathar,Tenathar
Ki,Ki
Tukks,Tukks
Kwati,Kwati
Ashno,Ashno
Au-nak,Au-nak
Vexil,Vexil
Riino,Riino
Cali,Cali
Fari,Fari
Joret,Joret
Ty,Ty
Warren,Warren
Bavamar,Bavamar
Ico,Ico
Nergaoul,Nergaoul
Geved,Geved
Nalanar,Nalanar
Kyril,Kyril
Nenefra,Nenefra
Lani,Lani
Bethab,Bethab
Joshor,Joshor
Mintez,Mintez
Urian,Urian
Borea,Borea
Chemoarish,Chemoarish
Notum,Notum
Creer,Creer
Karm,Karm
Mura,Mura
Gol,Gol
Dai-Gonarthis,Dai-Gonarthis
Chiri-Chiri,Chiri-Chiri
Fladm,Fladm
Hmalka,Hmalka
Tlik,Tlik
Vstim,Vstim
Wmlak,Wmlak
Laran,Laran
Malli,Malli
Pailiah,Pailiah
Turash,Turash
Dalksi,Dalksi
Unoqua,Unoqua
Vono,Vono
Jakamav,Jakamav
Kai-garnis,Kai-garnis
Tisark,Tisark
Wyndle,Wyndle
Yushah,Yushah
Abaray,Abaray
Beld,Beld
Dallet,Dallet
Goshel,Goshel
Jaks,Jaks
Malop,Malop
Mart,Mart
Pedin,Pedin
Coreb,Coreb
Estnatil,Estnatil
Hab,Hab
Hamadin,Hamadin
Hrdalm,Hrdalm
Mayalaran,Mayalaran
Tshadr,Tshadr
Devmrh,Devmrh
Hnanan,Hnanan
Rua,Rua
Vldgen,Vldgen
Gvori,Gvori
Jushu,Jushu
Ka,Ka
Karavaniga,Karavaniga
Nam,Nam
Pal,Pal
Ruli,Ruli
Wikim,Wikim
Kheni,Kheni
Vatwha,Vatwha
